region_id,total_population,elderly_population,num_doctors,avg_distance_to_hospital,healthcare_demand,budget_allocation
1,20795,3479,23,66.32226342664607,2209,204886
2,5860,13268,9,32.588422259751894,2086,304599
3,43158,4468,29,76.95075351196249,978,151101
4,49732,1410,16,21.484702547265577,1707,312962
5,16284,2496,46,90.12325088577884,2503,58434
6,11265,3629,22,52.77516999547743,170,433638
7,21850,5947,8,12.33611345042916,2410,237225
8,42194,6629,20,40.683678329694416,4501,80571
9,26962,6350,14,21.469291882906404,3395,352838
10,49131,4704,39,20.76885719064974,861,406570
11,21023,7946,37,51.13060402756869,4783,168792
12,46090,12449,34,67.51730954800088,2221,95485
13,6685,9019,11,91.2502023448394,3682,193141
14,5769,10491,40,50.71403906560169,4297,107198
15,7433,814,33,96.61803873077469,1729,148316
16,10311,12237,31,94.2218503552635,4388,481878
17,42819,1634,44,86.64119046845168,1185,401114
18,44188,11438,34,50.497749231279435,2557,495385
19,22568,5376,7,14.949490425110369,4495,122928
20,24769,8602,49,22.572542511723107,3366,459318
21,33693,10212,23,65.11933026848558,553,476673
22,11396,8847,46,42.75374304813541,2721,399942
23,32480,6092,7,15.533361543645645,718,102290
24,46434,2224,25,48.42039943029173,736,172664
25,30658,3843,3,2.7256240047025466,2448,455148
26,23942,1386,38,73.65564171905973,4974,304628
27,23431,11765,20,8.284548154479396,3136,61766
28,7747,11497,34,63.28224837129978,2349,400391
29,5189,1221,49,79.50802045493434,2821,63292
30,24118,8178,44,14.131743570942588,2449,267295
31,40773,9604,44,52.345230375935245,4532,228703
32,6899,3857,30,78.12768392158749,2094,306817
33,6267,1370,17,26.802712020943137,2920,122944
34,36551,12800,10,17.12874270716029,1171,418590
35,16394,7251,35,34.34509198577823,2131,84533
36,8556,997,20,55.91521848174826,1349,392917
37,8890,2256,18,57.95267989062025,1395,174433
38,46606,1617,45,13.956757012311014,3656,448994
39,35740,12101,44,46.29931591972319,427,85059
40,19502,3328,27,27.559937358409297,896,434562
41,26777,13982,49,84.36039758843013,2961,185938
42,15627,14792,36,32.043938074339046,4860,386109
43,13792,2147,23,84.0317479288521,2893,110661
44,48323,14378,32,43.42789664757742,3194,355496
45,48021,7492,10,72.93199081681888,3077,422195
46,13433,11675,11,51.49596262587023,1062,400517
